Latitude,Longitude
-37.215425576720634,146.77394490257967
-37.2150449164681,146.77381746043758
-37.214657576912835,146.77349748267548
-37.2142802805371,146.77330493995518
-37.213994820662776,146.7730154244348
-37.21367449191877,146.77269925898685
-37.21335750457337,146.77240949883145
-37.213066255374926,146.77212913979486
-37.212771961720435,146.77183083980142
-37.212460090827996,146.77181961307915
-37.21211856754998,146.77175073895333
-37.20973166228917,146.76877838673485
-37.20706051826878,146.76605825575754
-37.20400872324317,146.76372107116015
-37.20130547602834,146.7656125927487
-37.19952862201155,146.7670083683493
-37.19818249675398,146.76836278424767
-37.19724274658257,146.7692606007241
-37.19591699969345,146.77020421138818
-37.195663348569184,146.77041349637244
-37.19315055796284,146.77235525778926
-37.19053214201462,146.7740796903231
-37.188172137992645,146.7762651344422
-37.185927587921405,146.7779936414805
-37.18411137055263,146.77943215588917
-37.18375976952952,146.78154172309857
-37.183476692930434,146.78335147984086
-37.183295430997646,146.784945872875
-37.183180912450865,146.7852810783772
-37.1818822551217,146.78895373664736
-37.1807367193452,146.79252335072087
-37.18061724670209,146.7930799176075
-37.18045139076336,146.79347765144416
-37.18034831211289,146.79408785028727
-37.18039743931832,146.7946369481061
-37.180565068746134,146.79884915505235
-37.18176181584893,146.8025946056949
-37.18326502509811,146.80689180531348
-37.18426605037707,146.8100973206318
-37.18485043124234,146.81259906064645
-37.18534519059315,146.81512425444578
-37.185455777452454,146.8166482109634
-37.1856088649181,146.81819213175385
-37.18569374604558,146.81868632560276
-37.18585661355057,146.81928014353815
-37.18590046567859,146.81971647971756
-37.185976140385826,146.82011743342125
-37.186127986902,146.8204787010291
-37.186217105612236,146.82085535104318
-37.18620992876536,146.82137741631897
-37.18627246989184,146.82192804508136
-37.18632619969698,146.82229854076996
-37.186416423717034,146.82274205911412
-37.186534735760866,146.82305467503912
-37.186692695615086,146.82363972021963
-37.18671812706612,146.82361000193137
-37.186738887187694,146.82357753928315
-37.18670215622177,146.82354787846882
-37.1867337311354,146.82351299683575
-37.186754721236156,146.82355222619208
-37.18696051157669,146.82391346628074
-37.19025067861925,146.8226829635422
-37.19308238848775,146.82197035560824
-37.19611163028426,146.8215770008229
-37.19932405248968,146.8210997872757
-37.20198358115576,146.82047485556552
-37.20394961632521,146.81971089409865
-37.20529167177002,146.81946458577264
-37.20666084417985,146.81944312307036
-37.20694913296329,146.81941611018507
-37.20743880688491,146.81951422363275
-37.20743975412112,146.81953652530814
-37.207410900475764,146.8195385338574
-37.20777711914038,146.8196793945715
-37.207765638379385,146.81971864200463
-37.207755213710236,146.8197423428878
-37.207746478463676,146.81970524342017
-37.2077420381664,146.81973260860266
-37.20770593828622,146.81971414218052
-37.207680975233245,146.81972935629298
-37.20769343414932,146.81971265394725
-37.20739660728494,146.81950363645038
-37.207003993613036,146.81920453053849
-37.203910279184385,146.81626415572185
-37.20139876819593,146.81406502773817
-37.198198409046164,146.81181470754032
-37.19621056546363,146.80994583934427
-37.194488693174854,146.80796311696682
-37.193306750528286,146.806233377945
-37.19231692065652,146.80517447513353
-37.191283794052545,146.8043035287672
-37.191030853144134,146.8044482464919
-37.187958156784546,146.80605636497953
-37.187514718889595,146.8061307558156
-37.18717460059162,146.80631730221245
-37.187033449652624,146.80674559556743
-37.18681522292002,146.80696447599834
-37.1864895179509,146.8071878539108
-37.18615664507328,146.80756241454003
-37.1858159025676,146.80797668332065
-37.18556067561776,146.80851833568656
-37.18535920011579,146.80900829760694
-37.1853198678015,146.80938863060712
-37.185271641520806,146.80983656385322
-37.185210239862094,146.8103311246739
-37.185124865188,146.81090463289257
-37.18495802761078,146.81146740707257
-37.184965598241874,146.81191947424955
-37.184970355203575,146.81236964447092
-37.18504469263182,146.8128750147401
-37.18512316751727,146.8134320933433
-37.185273428924354,146.81404241676202
-37.185410348875955,146.814547336912
-37.1855772266881,146.81503644871822
-37.18564676041244,146.81566012997635
-37.18571579334265,146.81602812512685
-37.18604782298848,146.819834326862
-37.186322915032655,146.8235052549161
-37.18650712201022,146.8282234756178
-37.186457943225285,146.8286573249299
-37.18639600169081,146.8290760528053
-37.18643523822011,146.8294749663683
-37.18633839407119,146.82992569288888
-37.18606776896262,146.83037313158374
-37.1857576895028,146.83082052561645
-37.185465872009175,146.83109163902282
-37.18499319143827,146.83131562270873
